data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-12-28,202553,6.0,6,6,6,0.043964103,4.3851633,0,1,110012220255320578,2026-05-05,Ji-Paraná,,0.45381775,136825,23.2745142857143,98.1809,1,0,1,86.6948142857143,67.7872142857143,26.1588285714286,30.0543285714286,2,,,,,1752
2025-12-21,202552,6.0,6,6,6,0.028210865,4.3851633,0,1,110012220255220578,2026-05-05,Ji-Paraná,,0.42013448,136825,22.4425714285714,97.8875571428571,0,0,1,90.4207714285714,76.8787714285714,24.5491714285714,27.5913571428571,3,,,,,1752
2025-12-14,202551,18.0,18,18,18,0.7334371,13.155491,0,1,110012220255120578,2026-05-05,Ji-Paraná,,1.2417055,136825,22.8932285714286,99.0719,0,0,1,92.4550857142857,81.1172428571429,24.7822,27.6499,7,,,,,1752
2025-12-07,202550,15.0,15,15,15,0.43761936,10.962909,0,1,110012220255020578,2026-05-05,Ji-Paraná,,0.94575053,136825,23.0297428571429,99.0504428571429,1,0,1,91.1711285714286,77.1492285714286,25.1853571428571,28.2860428571429,4,,,,,1752
2025-11-30,202549,10.0,10,10,10,0.13058981,7.3086057,0,1,110012220254920578,2026-05-05,Ji-Paraná,,0.6424697,136825,22.6978,98.9687428571429,0,0,1,92.0475,80.2302571428571,24.6429428571429,27.6033142857143,3,,,,,1752
2025-11-23,202548,21.0,21,21,21,0.8689966,15.348072,0,1,110012220254820578,2026-05-05,Ji-Paraná,,1.4560417,136825,23.3685857142857,97.6231285714286,1,0,1,87.9498428571429,72.5155571428571,25.7606857142857,29.0006142857143,8,,,,,1752
2025-11-16,202547,14.0,14,14,14,0.49440247,10.232048,0,1,110012220254720578,2026-05-05,Ji-Paraná,,0.99479544,136825,23.4731857142857,95.7832142857143,0,0,1,79.2828285714286,55.2230142857143,27.3714857142857,32.4449142857143,3,,,,,1752
2025-11-09,202546,15.0,15,15,15,0.5878647,10.962909,0,1,110012220254620578,2026-05-05,Ji-Paraná,,1.0849797,136825,23.3660428571429,98.4026,1,0,1,88.5211285714286,72.6223571428571,25.9948571428571,29.5040857142857,4,,,,,1752
2025-11-02,202545,12.0,12,12,12,0.4662793,8.770327,0,1,110012220254520578,2026-05-05,Ji-Paraná,,0.966884,136825,23.8166142857143,93.7929428571429,0,0,1,78.3809142857143,56.7969857142857,27.5293285714286,31.9917857142857,1,,,,,1752
2025-10-26,202544,18.0,18,18,18,0.86786205,13.155491,0,1,110012220254420578,2026-05-05,Ji-Paraná,,1.5009261,136825,23.4163428571429,95.9416142857143,1,0,1,83.6556285714286,66.8240142857143,26.3032571428571,30.0022428571429,2,,,,,1752
